Food;Measure;Grams;Calories
Dairy products;;;
Cows' milk, whole;1 lt.;1031,32944;660
Cows' milk, skim;1 lt.;1039,78296;360
Buttermilk, cultured;1 lt.;1025,00082;127
Evaporated milk;1 lt.;1050,00084;345
Goats' milk, fresh;1 lt.;1016,66748;165
Milk;1 lt.;1031,32944;
Powdered milk;1 lt.;429,16701;515
Cocoa;1 lt.;1050,00084;235
Yogurt;1 cup;250;128
Custard;1 cup;248;275
Ice cream;1 cup;189;300
Cream;1/2 cup;119,5;170
Cheese, cottage;1 cup;225;240
Cheese, Cheddar, American;1-in. cube;17;70
Cheese, Cheddar, grated cup;1/2 cup;56;226
Cream cheese;1 oz.;28;105
Cheese, Processed cheese;1 oz.;28;105
Cheese, Roquefort type;1 oz.;28;105
Cheese, Swiss;1 oz.;28;105
Cheese;;;
Eggs;1;50;
Eggs, yolks;1;17;120
Oils, fats and shortenings;;;
Butter;1T.;14;100
Butter;1/4 lb.;112;800
Hydrogenated cooking fat;1/2 cup;100;665
Lard;1/2 cup;110;992
Margarine;1/2 cup;112;806
Margarine;1 T.;14;100
Mayonnaise;1 T.;15;110
Corn Oil;1 T.;14;125
Walnut Oil;1 T.;14;125
Soybean Oil;1 T.;14;125
Palm Oil;1 T.;14;125
Sunflower Oil;1 T.;14;125
Rapeseed Oil;1 T.;14;125
Olive Oil;1 T.;14;125
Salad dressing;1 T.;15;75
Salt pork;2 oz.;60;470
Meat and poultry;;;
Bacon, crisp, drained;2 slices;16;95
Beef, chuck, pat-roasted;3 oz.;85;245
Hamburger, commercial;3 oz.;85;245
Ground lean;3 oz.;85;185
Roast beef,;;;
oven-cooked;3 oz.;85;390
Steak, as sirloin;3 oz.;85;330
Steak, lean, as round;3 oz.;85;220
Corned beef;3 oz.;85;185
Corned beef hash,;;;
canned;3 oz.;85;120
Dried or chipped;2 oz.;56;115
"Pot-pie, 4 1/2"" diameter";1 pie;227;480
Stew, with vegetables;1 cup;235;185
"chicken; broiled";3 oz.;85;185
Fried, breast or leg and thigh;3 oz.;85;245
Roasted;3 1/2 oz.;100;290
Chicken livers, fried;3 med.;100;140
Duck, domestic;3 1/2 oz.;100;370
Lamb, chop, broiled;4 oz.;115;480
Leg roasted;3 oz.;86;314
Shoulder, braised;3 oz.;85;285
Pork, chop, 1 thick;3 1/2 oz.;100;260
Ham, cured, and;;;
pan-broiled;3 oz.;85;290
Ham, as luncheon meat;2 oz.;57;170
Ham, canned, spiced;2 oz.;57;165
Pork roast;3 oz.;85;310
Pork sausage, bulk;3 1/2 oz.;100;475
Turkey, roasted;3 1/2 oz.;100;265
Veal, cutlet, broiled;3 oz.;85;185
Roast;3 oz.;85;305
Fish and seafood;;;
Clams, steamed or canned;3 oz.;85;87
Cod, broiled;3 1/2 oz.;100;170
Crab meat, cooked;3 oz.;85;90
Fish sticks, breaded,;;;
fried;5;112;200
Flounder, baked;3 1/2 oz.;100;200
Haddock, fried;3 oz.;85;135
Halibut, broiled;3 1/2 oz.;100;182
Herring, kippered;1 small;100;211
Lobster, steamed;aver.;100;92
Mackerel, canned;3 oz.;85;155
Oysters, raw;6-8 med.;;
or 1/2 cup;120;85;8
Oyster stew, made;;;
with milk;1 cup;230;200
Salmon, canned;3 oz.;85;120
Sardines, canned;3 oz.;85;180
Scallops, breaded, fried;3 1/2 oz.;100;104
Shad, baked;3 oz.;85;170
Shrimp, steamed;3 oz.;85;110
Swordfish, broiled;1 steak;100;180
Tuna, canned, drained;3 oz.;85;170
Vegetables;;;
Tomatoes;;;
Tomatoes, canned whole;1 cup;240;50
Tomatoes, Raw, 2 by 2 1/2;1 med.;150;30
Tomato juice, canned;1 cup;240;50
Tomato catsup;1 T.;17;15
Onions & Leeks;;;
Onions, mature cooked;1;210;80
Onions, Raw, green;6 small;50;22
Root Vegetables;;;
Beet greens, steamed;1 cup;100;27
Beetroots, boiled;1 cup;165;1
Carrots, cooked, diced;1 cup;150;45
Carrots, Raw, grated;1 cup;110;45
Carrots, Strips, from raw;1 mad.;50;20
Parsnips;1 cup;155;95
Potatoes, baked;1 med.;100;100
French-fried;10 pieces;60;155
Mashed with milk;;;
and butter;1 cup;200;230
